clip_filename,id,start_time,end_time,label
1_Right.mp4,10,00:00:16.725,00:00:18.352,1_Right
2_Right.mp4,10,00:00:29.655,00:00:35.035,2_Right
3_Right.mp4,10,00:00:45.796,00:00:47.256,3_Right
4_Right.mp4,10,00:00:59.142,00:01:05.399,4_Right
5_Left.mp4,10,00:01:19.217,00:01:20.414,5_Left
6_Right.mp4,10,00:01:32.426,00:01:33.635,6_Right
7_Left.mp4,10,00:02:10.583,00:02:11.798,7_Left
8_Left.mp4,10,00:02:18.889,00:02:21.892,8_Left
9_Left.mp4,10,00:02:38.283,00:02:39.785,9_Left
10_Left.mp4,10,00:03:14.444,00:03:15.737,10_Left
11_Right.mp4,10,00:03:55.485,00:04:00.490,11_Right
12_Right.mp4,10,00:04:19.801,00:04:21.136,12_Right
13_Right.mp4,10,00:04:44.534,00:04:45.785,13_Right
14_Left.mp4,10,00:06:17.627,00:06:18.837,14_Left
15_Right.mp4,10,00:06:27.012,00:06:28.221,15_Right
16_Left.mp4,10,00:06:56.333,00:06:57.584,16_Left
17_Left.mp4,10,00:08:04.192,00:08:05.402,17_Left
18_Left.mp4,10,00:08:49.529,00:08:50.488,18_Left
19_Left.mp4,10,00:09:33.740,00:09:34.991,19_Left
20_Left.mp4,10,00:09:45.835,00:09:48.129,20_Left
21_Left.mp4,10,00:10:33.842,00:10:35.093,21_Left
22_Left.mp4,10,00:10:58.491,00:10:59.617,22_Left
23_Right.mp4,10,00:11:50.126,00:11:53.671,23_Right
24_Right.mp4,10,00:12:06.684,00:12:07.727,24_Right
25_Right.mp4,10,00:12:56.025,00:12:57.068,25_Right
26_Left.mp4,10,00:13:17.088,00:13:21.968,26_Left
27_Left.mp4,10,00:13:43.114,00:13:44.032,27_Left
