file,accuracy,num_frames,avg_latency_ms,prediction_flips
3/26_Right.mp4,0.9782608695652174,46,20.191599290979944,3
3/10_Left.mp4,0.9666666666666667,90,94.57457876867718,5
3/18_Left.mp4,0.9512195121951219,82,20.175932917925643,18
3/20_Right.mp4,0.9459459459459459,74,20.20109858917626,8
3/8_Right.mp4,0.9393939393939394,66,20.259429728894524,22
3/17_Left.mp4,0.9361702127659575,94,20.518834246916974,18
3/5_Right.mp4,0.9342105263157895,76,20.611877736978624,16
3/4_Right.mp4,0.9326923076923077,104,20.430773550357955,35
3/2_Right.mp4,0.9175824175824175,546,20.770769013644575,87
3/3_Left.mp4,0.9074074074074074,108,20.389620835582416,21
