00:01:52.960,00:01:55.120,1_Right
00:02:22.120,00:02:25.120,2_Right
00:02:59.720,00:03:01.200,3_Right
00:03:11.520,00:03:12.560,4_Left
00:03:24.520,00:03:26.640,5_Left
00:03:39.560,00:03:41.000,6_Right
00:03:52.720,00:03:55.320,7_Right
00:04:05.480,00:04:10.560,8_Right
00:04:48.360,00:04:50.400,9_Left
00:05:00.560,00:05:01.680,10_Left
00:05:38.880,00:05:41.520,11_Left
00:05:54.360,00:05:55.880,12_Right
00:07:25.000,00:07:25.920,13_Left
00:07:49.600,00:07:51.520,14_Left
00:08:02.520,00:08:06.680,15_Right
00:08:18.120,00:08:20.520,16_Right
00:08:33.320,00:08:34.640,17_Right
00:08:46.120,00:08:47.760,18_Left
00:08:59.400,00:09:00.600,19_Left
00:10:07.960,00:10:09.360,20_Left
00:10:25.440,00:10:30.000,21_Right
00:10:41.680,00:10:43.000,22_Right
00:10:54.960,00:10:56.360,23_Right
00:11:09.840,00:11:11.440,24_Right
