00:00:45.680,00:00:46.520,1_Right
00:00:59.520,00:01:01.760,2_Left
00:01:30.640,00:01:31.600,3_Left
00:01:42.160,00:01:44.320,4_Right
00:02:10.840,00:02:11.800,5_Left
00:02:24.040,00:02:28.960,6_Left
00:02:39.120,00:02:43.200,7_Right
00:03:00.920,00:03:06.560,8_Left
00:03:32.400,00:03:33.880,9_Left
00:03:56.560,00:04:06.840,10_Right
00:04:41.080,00:04:42.000,11_Right
00:04:53.440,00:04:55.800,12_Left
00:05:09.560,00:05:10.600,13_Left
00:06:42.920,00:06:44.680,14_Right
00:06:57.840,00:06:58.760,15_Right
00:07:40.960,00:07:44.840,16_Right
00:08:31.560,00:08:32.960,17_Left
00:08:47.160,00:08:48.200,18_Left
00:09:27.160,00:09:28.400,19_Left
00:09:39.680,00:09:40.760,20_Left
00:10:10.360,00:10:11.520,21_Left
00:10:26.040,00:10:27.080,22_Right
00:10:39.240,00:10:42.720,23_Right
00:11:02.640,00:11:03.400,24_Right
00:11:32.080,00:11:33.440,25_Left
00:11:48.200,00:11:49.080,26_Right
00:12:07.440,00:12:08.200,27_Right
00:12:33.240,00:12:34.160,28_Left
