00:00:04.320,00:00:05.600,1_Left
00:00:43.000,00:00:44.560,2_Right
00:00:53.280,00:00:56.000,3_Left
00:01:07.320,00:01:08.560,4_Right
00:01:18.720,00:01:20.120,5_Right
00:01:31.400,00:01:32.960,6_Right
00:01:42.760,00:01:44.000,7_Right
00:01:57.320,00:01:58.680,8_Right
00:02:10.240,00:02:12.120,9_Right
00:02:21.080,00:02:22.240,10_Left
00:02:34.240,00:02:35.120,11_Right
00:03:50.640,00:03:55.800,12_Right
00:04:07.960,00:04:10.120,13_Left
00:04:23.000,00:04:24.360,14_Right
00:04:34.600,00:04:35.920,15_Left
00:05:00.920,00:05:07.040,16_Right
00:05:30.320,00:05:32.280,17_Right
00:06:20.920,00:06:26.480,18_Left
00:06:41.480,00:06:42.720,19_Right
00:07:19.080,00:07:20.280,20_Left
00:07:56.320,00:07:57.800,21_Left
00:08:05.600,00:08:09.440,22_Right
00:08:27.680,00:08:29.080,23_Right
