clip_filename,bout_id,start_time,end_time,label
1_Left.mp4,5,00:00:05.600,00:00:07.000,1_Left
2_Left.mp4,5,00:00:26.920,00:00:28.560,2_Left
3_Left.mp4,5,00:00:44.800,00:00:46.160,3_Left
4_Right.mp4,5,00:01:40.640,00:01:42.760,4_Right
5_Right.mp4,5,00:02:24.480,00:02:25.160,5_Right
6_Left.mp4,5,00:02:41.520,00:02:42.520,6_Left
7_Right.mp4,5,00:02:53.680,00:02:54.600,7_Right
8_Left.mp4,5,00:03:09.320,00:03:10.520,8_Left
9_Right.mp4,5,00:03:42.600,00:03:43.920,9_Right
10_Right.mp4,5,00:04:30.840,00:04:33.080,10_Right
11_Left.mp4,5,00:04:59.880,00:05:01.400,11_Left
12_Right.mp4,5,00:05:45.920,00:05:50.440,12_Right
13_Right.mp4,5,00:06:04.600,00:06:05.520,13_Right
14_Right.mp4,5,00:07:35.560,00:07:36.520,14_Right
15_Right.mp4,5,00:07:46.480,00:07:47.320,15_Right
16_Left.mp4,5,00:08:12.200,00:08:18.720,16_Left
17_Right.mp4,5,00:08:32.240,00:08:34.160,17_Right
18_Right.mp4,5,00:08:44.720,00:08:46.760,18_Right
19_Left.mp4,5,00:09:16.920,00:09:19.600,19_Left
20_Right.mp4,5,00:09:33.840,00:09:34.800,20_Right
21_Right.mp4,5,00:09:44.240,00:09:49.040,21_Right
22_Right.mp4,5,00:10:04.200,00:10:05.400,22_Right
