clip_filename,id,start_time,end_time,label
1_Right.mp4,9,00:00:24.399,00:00:28.320,1_Right
2_Right.mp4,9,00:00:40.123,00:00:41.291,2_Right
3_Left.mp4,9,00:01:03.272,00:01:04.898,3_Left
4_Right.mp4,9,00:01:19.329,00:01:20.497,4_Right
5_Right.mp4,9,00:01:34.636,00:01:35.762,5_Right
6_Right.mp4,9,00:01:51.403,00:01:52.571,6_Right
7_Right.mp4,9,00:02:06.918,00:02:08.462,7_Right
8_Left.mp4,9,00:02:20.015,00:02:21.224,8_Left
9_Left.mp4,9,00:02:33.236,00:02:34.321,9_Left
10_Left.mp4,9,00:03:09.272,00:03:11.650,10_Left
11_Left.mp4,9,00:03:24.496,00:03:25.539,11_Left
12_Right.mp4,9,00:03:53.108,00:03:54.025,12_Right
13_Right.mp4,9,00:04:06.872,00:04:08.039,13_Right
14_Left.mp4,9,00:05:28.537,00:05:31.706,14_Left
15_Right.mp4,9,00:06:30.932,00:06:32.058,15_Right
16_Right.mp4,9,00:07:07.177,00:07:08.219,16_Right
17_Left.mp4,9,00:07:25.987,00:07:26.905,17_Left
18_Left.mp4,9,00:07:46.716,00:07:51.012,18_Left
19_Right.mp4,9,00:08:20.667,00:08:21.876,19_Right
20_Right.mp4,9,00:08:40.270,00:08:41.354,20_Right
21_Left.mp4,9,00:09:12.886,00:09:14.304,21_Left
22_Right.mp4,9,00:09:27.901,00:09:29.152,22_Right
23_Right.mp4,9,00:09:57.305,00:09:58.264,23_Right
24_Right.mp4,9,00:10:28.503,00:10:29.754,24_Right
