file,accuracy,num_frames,avg_latency_ms,prediction_flips
3/12_Left.mp4,0.6777777777777778,90,20.41883875305454,39
3/27_Left.mp4,0.7169811320754716,106,20.544041009654975,34
3/24_Right.mp4,0.788135593220339,118,20.408521793088166,38
3/13_Left.mp4,0.8088235294117647,68,20.69952506024171,24
3/16_Right.mp4,0.8207547169811321,106,20.43609857945791,24
3/14_Right.mp4,0.83203125,256,20.906697995087598,161
3/19_Left.mp4,0.8457142857142858,350,20.4634611840759,211
3/23_Right.mp4,0.8461538461538461,78,20.375021303502415,31
3/21_Left.mp4,0.8529411764705882,102,20.49528481438756,39
3/1_Right.mp4,0.8555555555555555,90,20.768492875827683,33
