file,accuracy,num_frames,avg_latency_ms,prediction_flips
3/10_Left.mp4,0.9666666666666667,90,94.57457876867718,5
3/11_Right.mp4,0.8974358974358975,78,20.537563778746588,17
3/12_Left.mp4,0.6777777777777778,90,20.41883875305454,39
3/13_Left.mp4,0.8088235294117647,68,20.69952506024171,24
3/14_Right.mp4,0.83203125,256,20.906697995087598,161
3/15_Left.mp4,0.9,60,20.384284217531484,26
3/16_Right.mp4,0.8207547169811321,106,20.43609857945791,24
3/17_Left.mp4,0.9361702127659575,94,20.518834246916974,18
3/18_Left.mp4,0.9512195121951219,82,20.175932917925643,18
3/19_Left.mp4,0.8457142857142858,350,20.4634611840759,211
3/1_Right.mp4,0.8555555555555555,90,20.768492875827683,33
3/20_Right.mp4,0.9459459459459459,74,20.20109858917626,8
3/21_Left.mp4,0.8529411764705882,102,20.49528481438756,39
3/22_Left.mp4,0.896551724137931,58,20.197376737306858,22
3/23_Right.mp4,0.8461538461538461,78,20.375021303502415,31
3/24_Right.mp4,0.788135593220339,118,20.408521793088166,38
3/25_Left.mp4,0.8875,80,20.431455154903233,16
3/26_Right.mp4,0.9782608695652174,46,20.191599290979944,3
3/27_Left.mp4,0.7169811320754716,106,20.544041009654975,34
3/2_Right.mp4,0.9175824175824175,546,20.770769013644575,87
3/3_Left.mp4,0.9074074074074074,108,20.389620835582416,21
3/4_Right.mp4,0.9326923076923077,104,20.430773550357955,35
3/5_Right.mp4,0.9342105263157895,76,20.611877736978624,16
3/6_Left.mp4,0.890625,64,20.236424170434475,14
3/7_Left.mp4,0.8571428571428571,280,20.84013160118567,90
3/8_Right.mp4,0.9393939393939394,66,20.259429728894524,22
3/9_Left.mp4,0.8925,400,20.91480983188376,206
